timestamp,scrip_code,company_name,quarter,filename,status,note
2026-03-26T14:43:14.030228,543526,LIFE INSURANCE CORPORATION OF,June 2025,,failed,
2026-03-26T14:43:14.952687,543526,LIFE INSURANCE CORPORATION OF,March 2025,,failed,
2026-03-26T14:43:23.839150,500510,LARSEN & TOUBRO LTD.,December 2025,,failed,
2026-03-26T14:43:25.029422,500510,LARSEN & TOUBRO LTD.,September 2025,,failed,
2026-03-26T14:43:26.828607,500510,LARSEN & TOUBRO LTD.,September 2025,,failed,
2026-03-26T14:43:28.102258,500510,LARSEN & TOUBRO LTD.,September 2025,,failed,
2026-03-26T14:43:29.264523,500510,LARSEN & TOUBRO LTD.,September 2025,,failed,
2026-03-26T14:43:30.208791,500510,LARSEN & TOUBRO LTD.,June 2025,,failed,
2026-03-26T14:43:31.110441,500510,LARSEN & TOUBRO LTD.,March 2025,,failed,
2026-03-26T14:43:32.039994,500510,LARSEN & TOUBRO LTD.,December 2024,,failed,
2026-03-26T14:43:33.191297,500510,LARSEN & TOUBRO LTD.,December 2024,,failed,
2026-03-26T14:43:34.104364,500510,LARSEN & TOUBRO LTD.,September 2024,,failed,
2026-03-26T14:43:55.952340,500875,ITC LTD.,December 2025,,failed,
2026-03-26T14:43:57.215437,500875,ITC LTD.,September 2025,,failed,
2026-03-26T14:43:58.407930,500875,ITC LTD.,June 2025,,failed,
2026-03-26T14:43:59.579182,500875,ITC LTD.,March 2025,,failed,
2026-03-26T14:44:00.784067,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:02.292063,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:03.209286,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:04.181761,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:05.067932,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:06.011600,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:06.927272,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:07.848013,500875,ITC LTD.,December 2024,,failed,
2026-03-26T14:44:08.748825,500875,ITC LTD.,September 2024,,failed,
2026-03-26T14:44:30.933317,532500,MARUTI SUZUKI INDIA LTD.,December 2025,,failed,
2026-03-26T14:44:32.108611,532500,MARUTI SUZUKI INDIA LTD.,September 2025,,failed,
2026-03-26T14:44:33.305702,532500,MARUTI SUZUKI INDIA LTD.,June 2025,,failed,
2026-03-26T14:44:34.218865,532500,MARUTI SUZUKI INDIA LTD.,March 2025,,failed,
2026-03-26T14:44:35.122442,532500,MARUTI SUZUKI INDIA LTD.,December 2024,,failed,
2026-03-26T14:44:36.061278,532500,MARUTI SUZUKI INDIA LTD.,December 2024,,failed,
2026-03-26T14:44:37.207110,532500,MARUTI SUZUKI INDIA LTD.,September 2024,,failed,
2026-03-26T14:44:57.510422,500520,MAHINDRA & MAHINDRA LTD.,December 2025,,failed,
2026-03-26T14:44:58.687472,500520,MAHINDRA & MAHINDRA LTD.,September 2025,,failed,
2026-03-26T14:44:59.615156,500520,MAHINDRA & MAHINDRA LTD.,June 2025,,failed,
