BSE Code,Q_FY,id_resig_ct,id_unstated_flag,auditor_change_flag,credit_downgrade_ct
500164,Q1FY24,0,0,0,0
500164,Q1FY25,0,0,0,0
500164,Q2FY23,0,0,0,0
500164,Q2FY24,0,0,0,0
500164,Q2FY25,0,0,0,0
500164,Q3FY23,0,0,0,0
500164,Q3FY24,0,0,0,0
500164,Q3FY25,0,0,0,0
500164,Q4FY23,0,0,0,0
500164,Q4FY24,0,0,0,0
500164,Q4FY25,0,0,0,0
500165,Q1FY23,0,0,0,0
500165,Q1FY24,0,0,0,0
500165,Q1FY25,0,0,1,0
500165,Q2FY23,1,0,0,0
500165,Q2FY24,0,0,0,0
500165,Q2FY25,0,0,0,0
500165,Q3FY23,0,0,0,0
500165,Q3FY24,0,0,0,0
500165,Q3FY25,0,0,0,0
500165,Q4FY23,0,0,0,0
500165,Q4FY24,0,0,0,0
500165,Q4FY25,0,0,0,0
500180,Q1FY23,0,0,0,0
500180,Q1FY24,0,0,0,0
500180,Q1FY25,0,0,0,0
500180,Q2FY23,0,0,0,0
500180,Q2FY24,0,0,0,0
500180,Q2FY25,0,0,0,0
500180,Q3FY23,0,0,0,0
500180,Q3FY24,0,0,0,0
500180,Q3FY25,0,0,0,0
500180,Q4FY23,0,0,0,0
500180,Q4FY24,0,0,0,0
500180,Q4FY25,0,0,0,0
500182,Q1FY23,0,0,1,0
500182,Q1FY24,0,0,0,0
500182,Q1FY25,0,0,0,0
500182,Q2FY23,0,0,0,0
500182,Q2FY24,0,0,0,0
500182,Q2FY25,0,0,0,0
500182,Q3FY23,0,0,0,0
500182,Q3FY24,0,0,0,0
500182,Q3FY25,0,0,0,0
500182,Q4FY23,0,0,0,0
500182,Q4FY24,0,0,0,0
500182,Q4FY25,0,0,0,0
500188,Q1FY23,0,0,0,0
500188,Q1FY24,0,0,0,0
500188,Q1FY25,0,0,0,0
500188,Q2FY23,0,0,0,0
500188,Q2FY24,0,0,0,0
500188,Q2FY25,0,0,0,0
500188,Q3FY23,0,0,0,0
500188,Q3FY24,0,0,0,0
500188,Q3FY25,0,0,0,0
500188,Q4FY23,0,0,0,0
500188,Q4FY24,0,0,0,0
500188,Q4FY25,0,0,0,0
500233,Q1FY23,0,0,0,0
500233,Q1FY24,0,0,0,0
500233,Q1FY25,0,0,0,0
500233,Q2FY23,0,0,1,0
500233,Q2FY24,0,0,0,0
500233,Q2FY25,0,0,0,0
500233,Q3FY23,0,0,0,0
500233,Q3FY24,0,0,0,0
500233,Q3FY25,0,0,0,0
500233,Q4FY23,0,0,0,0
500233,Q4FY24,0,0,0,0
500233,Q4FY25,0,0,0,0
500252,Q1FY23,0,0,0,0
500252,Q1FY24,0,0,0,0
500252,Q1FY25,0,0,0,0
500252,Q2FY23,0,0,0,0
500252,Q2FY24,0,0,0,0
500252,Q2FY25,0,0,0,0
500252,Q3FY23,0,0,0,0
500252,Q3FY24,0,0,0,0
500252,Q3FY25,0,0,0,0
500252,Q4FY23,0,0,0,0
500252,Q4FY24,0,0,0,0
500252,Q4FY25,0,0,0,0
500266,Q1FY23,0,0,1,0
500266,Q1FY24,0,0,0,0
500266,Q1FY25,0,0,0,0
500266,Q2FY23,0,0,0,0
500266,Q2FY24,0,0,0,0
500266,Q2FY25,0,0,0,0
500266,Q3FY23,0,0,0,0
500266,Q3FY24,0,0,0,0
500266,Q3FY25,0,0,0,0
500266,Q4FY23,0,0,0,0
500266,Q4FY24,0,0,0,0
500266,Q4FY25,0,0,0,0
500325,Q1FY23,0,0,0,0
500325,Q1FY24,0,0,0,0
