NSE Symbol,Q_FY,FY,Filing_Date,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
GICRE,Q4FY24,FY24,2024-07-18,2024-07-19,2025-07-22,252,0.0027143984259731784,0.9818453454951376,0.8968705769207472,0.37066840887272773,0.016728386313359045,1.0593920369995113,-2.623089822084227,-3.463953820408803,1.9318539949578355,0.6950066734283125,0.7609289810768534
NIACL,Q4FY22,FY22,2022-07-08,2022-07-11,2023-07-17,252,0.001038764692829341,0.2992260000684565,0.3754173314343786,0.7076749327880525,0.01741293857334547,1.0079932665914817,-1.060758852529105,0.7766244176805014,-0.6604797924097221,-4.9131187806010725,0.6034920609618549
NIACL,Q4FY23,FY23,2023-07-06,2023-07-07,2024-07-18,252,-0.001429233763689384,-0.30244011228542006,-0.4060980818155944,0.6850250003500067,0.027682949190288353,1.6043279454595751,0.8492597238295228,-1.8977749687140602,-2.5772893856690806,3.7646016488527114,1.4656751754637147
NIACL,Q4FY24,FY24,2024-07-15,2024-07-16,2025-07-18,252,0.0013822413470670329,0.4166923442556633,0.4467235497649534,0.6554692954160327,0.03282717132669055,1.1708064581318263,-1.9848570421458427,-4.683206496264675,-1.9039771266511476,-0.13326426256015278,0.768308076550063
AMBER,Q4FY22,FY22,2022-07-11,2022-07-12,2023-07-18,252,-0.0009390022556134937,-0.21071560126549613,-0.5053280463815238,0.6137827317174801,0.02195418179828701,0.410804994261887,1.1355001049208993,-0.70497360760804,1.3138904561674707,0.5662642754411105,-0.276146658089129
AMBER,Q4FY23,FY23,2023-07-20,2023-07-21,2024-08-01,252,0.00023465537582552203,0.06091649736191027,0.09747538544210166,0.9224285752278685,0.05026717264692104,-0.32679205011633883,2.0355960780070332,3.079066316301902,2.0387694753506564,-0.9629165429847582,-0.7245471181231227
AMBER,Q4FY24,FY24,2024-07-19,2024-07-22,2025-07-23,252,0.004227525718802973,1.90181522589743,1.1360245933925366,0.2570562866135432,0.028528572672263497,0.49433237301636757,-1.0144884700530912,-4.386217089463896,3.0922355634252283,1.1995357393747994,0.6235785681047137
ASTERDM,Q4FY22,FY22,2022-07-14,2022-07-15,2023-07-21,252,0.0023725126783644556,0.8182476269949818,0.9654459018755577,0.3352735166215325,0.0184465101099498,0.793404575716194,0.05979889478255296,-1.153251869373512,1.6904142430090423,7.939045055055751,0.03889584816852837
ASTERDM,Q4FY23,FY23,2023-07-13,2023-07-14,2024-07-25,252,-0.0019731788894671864,-0.3917936603376102,-0.8662772500869401,0.38718568565354294,0.01822283832418936,0.6146876889936004,0.5935435766179186,-0.5032460684639541,-2.0497203359782814,0.1480120349735886,1.3052583127923645
ASTERDM,Q4FY24,FY24,2024-07-18,2024-07-19,2025-07-22,252,0.0038124937232533285,1.6136518463801253,1.6871180194359046,0.09285338503934569,0.03591671759806625,1.1089870344456472,-0.7929097370065769,-3.703650829540331,-0.6298051022122908,-0.38695176198759285,0.16344056812065194
