Outcome,AR_var,N,AINDEX_beta,AINDEX_p,BINDEX_beta,BINDEX_p,CINDEX_beta,CINDEX_p,DINDEX_beta,DINDEX_p,OINDEX_beta,OINDEX_p,TRINDEX_beta,TRINDEX_p,audit_fees_inr_crore_beta,audit_fees_inr_crore_p,n_director_changes_beta,n_director_changes_p,n_rating_changes_beta,n_rating_changes_p,auditor_change_any_beta,auditor_change_any_p,board_size_beta,board_size_p,board_independence_ratio_beta,board_independence_ratio_p,board_meeting_count_beta,board_meeting_count_p
total_vol,board_size,54,0.0017910921698848952,,-0.0006446552034436157,,-0.0029041097287113913,,-0.0008848473322816199,,0.0012120627889486409,,0.0004943532832765865,,,,0.0003097983992380208,,-0.0005344403505602223,,-0.0005616924444329937,,0.0004968730412526953,,,,,
idio_vol,board_size,54,0.0014730073561824602,,-0.000179008894018815,,-0.0020435641584028944,,-0.0005902699448924829,,0.0015607189496974492,,0.0002780230165772194,,,,0.00034034251906004683,,-0.0006347744076683365,,-0.0011105442053835335,,0.0004270760489905826,,,,,
downside_vol,board_size,54,0.00011040291186629165,,-0.0006251358371406199,,-0.0008471172446836456,,-0.000573196288397072,,0.0011689302929015685,,0.0010537610663512915,,,,0.0001959657784938944,,-0.0008351000170896789,,-0.00011662462718701287,,0.00014383548371090115,,,,,
roe,board_size,54,0.020165205723011347,,-0.0014454950264614216,,-0.03327277738421785,,-0.07896974419041203,,-0.13617752960543417,,0.007158630852658882,,,,-0.0011652849510736384,,-0.030783505499091313,,0.027303611678551453,,0.012946115499282285,,,,,
mar_pct,board_independence_ratio,54,0.08132150627593979,,0.3759970236420961,,0.3286070568686606,,-0.20670659679461673,,0.04687228850366707,,-0.30068539404578554,,,,0.05063174434874299,,0.03145407742085472,,0.14366137104486754,,,,1.2637216045747797,,,
capm_alpha,board_independence_ratio,54,-0.040644342273354166,,0.2858395470893785,,0.3058189204206988,,-0.15811194846553595,,0.028055294870437307,,-0.24268910344594774,,,,0.043951638652633775,,0.02420149748961271,,0.14238355669727623,,,,1.508803172922523,,,
ff5_alpha,board_independence_ratio,54,0.04883601243765522,,0.038105974253033324,,-0.18849508083465183,,-0.08996049356357236,,-0.14144861651858145,,0.001572362787779341,,,,-0.05667151540883813,,-0.18051848539253362,,0.748479069480134,,,,0.69697980726683,,,
total_vol,board_independence_ratio,54,0.0016273583045921848,,-0.0005973295808350216,,-0.00264897086763939,,-0.0001334593427486573,,0.0009597433058463809,,-0.00010282535797683869,,,,0.0002902765517111306,,-0.00040575410014134317,,0.00037394640944858224,,,,0.01482869277819623,,,
idio_vol,board_independence_ratio,54,0.0013859339271793591,,-0.00013377325005134598,,-0.0017730726939857266,,-4.71857180933544e-05,,0.0013818029999387981,,-0.00022096184208652975,,,,0.000331867810436503,,-0.00047428964059657315,,-0.00047918056364348546,,,,0.010803909581610259,,,
downside_vol,board_independence_ratio,54,0.00015950103919493608,,-0.0006032394697832065,,-0.0006812009439047563,,-0.000540464169336892,,0.0011641502794674994,,0.0009066162043551798,,,,0.00020524898229356178,,-0.000708158076818185,,-0.00015659509556436554,,,,0.0008008122028903161,,,
roe,board_independence_ratio,54,0.04649510924339694,,0.0023864428749563217,,0.002563875530459026,,-0.1179806554227464,,-0.12110798213908561,,-0.00024362823971573377,,,,0.003061328211027996,,0.0010073620677042699,,-0.04687007236361116,,,,-0.7207873023013183,,,
mar_pct,board_meeting_count,39,0.10981068181549097,,0.29979895923454086,,0.35738311886361596,,-0.19515672796979772,,-0.44200860937064296,,-0.16271923530082683,,,,0.03148453079822004,,0.17822018495585185,,-0.2719004490085368,,,,,,-0.08980574311529006,
capm_alpha,board_meeting_count,39,0.28665623093048453,,0.37541209447874146,,0.26409024062972325,,-0.19459471573514955,,-0.48546566680813535,,-0.10342913035957237,,,,0.04221123303727616,,0.22939115368971005,,-0.3620825032059525,,,,,,-0.10063852252332879,
ff5_alpha,board_meeting_count,39,-1.1927016148587009,,-0.33121364840777806,,-0.2815032870210608,,-1.0859444747147444,,-2.4970626274404846,,1.0557072259108995,,,,-0.07005517546499701,,0.04582336624010664,,-0.1644205274880455,,,,,,-0.46651206749422935,
total_vol,board_meeting_count,39,-0.0026569780870296694,,-0.0031198484253067366,,0.0007977269751132952,,-0.0035752693894672374,,-0.008196298723898838,,-0.00275497559493144,,,,-0.00031922628046573666,,0.000637362975892404,,0.000565737925473499,,,,,,-0.0006233303461964445,
idio_vol,board_meeting_count,39,0.0009866313428737315,,0.0002325622181454014,,0.0011908948349385997,,-0.0018590033493720863,,-0.0029376086655488963,,-0.002690841301608782,,,,-6.401113822353359e-05,,0.0011774794296707846,,-0.0004514402593783755,,,,,,0.0002506212519259084,
downside_vol,board_meeting_count,39,-0.0017476257577307914,,-0.0028157505454713063,,-0.003420175638680095,,-0.004955164257443408,,-0.00662128010505069,,-0.0008230933935664772,,,,0.00017161566861706182,,-0.002233801958799564,,-0.006045813747869187,,,,,,0.00038848122178722485,
roe,board_meeting_count,39,-0.029208487179055085,,0.07321470722325349,,-0.019560139269464132,,-0.10211932043629394,,0.101795502719793,,0.1712045264159853,,,,-0.0005938116717354426,,8.044599832802389e-05,,0.004326192351094996,,,,,,0.0021216341036681663,
