BSE Code,Company Name,Industry
532929,Brigade Enterprises Limited,Real Estate - Development
503100,THE PHOENIX MILLS LIMITED,Real Estate - Diversified
543330,DEVYANI INTERNATIONAL LIMITED,Restaurants
543720,KFIN TECHNOLOGIES LIMITED,Software - Application
541557,Fine Organic Industries Limited,Specialty Chemicals
500165,Kansai Nerolac Paints Limited,Specialty Chemicals
542812,Gujarat Fluorochemicals Limited,Specialty Chemicals
500710,Akzo Nobel India Limited,Specialty Chemicals
500252,LMW LIMITED,Specialty Industrial Machinery
533293,KIRLOSKAR OIL ENGINES LIMITED,Specialty Industrial Machinery
500002,ABB India Limited,Specialty Industrial Machinery
543299,SHYAM METALICS AND ENERGY LIMITED,Steel
504614,Sarda Energy & Minerals Limited,Steel
532286,JINDAL STEEL & POWER LIMITED,Steel
534816,INDUS TOWERS LIMITED,Telecom Services
521064,TRIDENT LIMITED,Textile Manufacturing
532181,GUJARAT MINERALS DEVELOPMENT CORPORATION LIMITED,Thermal Coal
500163,GODFREY PHILLIPS INDIA LIMITED,Tobacco
543064,SUVEN PHARMACEUTICALS LIMITED,Unclassified
543320,ZOMATO LIMITED,Unclassified
532939,RELIANCE POWER LIMITED,Utilities - Independent Power Producers
513683,NLC India Limited,Utilities - Regulated Electric
542066,Adani Total Gas Limited,Utilities - Regulated Gas
533098,NHPC LIMITED,Utilities - Renewable
