BSE Code,FY,Industry,Sector,total_vol,idio_vol,downside_vol,max_drawdown,lag_total_vol,lag_idio_vol
500252.0,FY25,Specialty Industrial Machinery,Industrials,0.015406892799270079,0.01277275568657154,0.007411608385190451,0.14330956077797796,0.018062860706338,0.0158221323018609
500253.0,FY25,Mortgage Finance,Financial Services,0.01223989337364199,0.009829146649880452,0.006537180988092522,0.15345563767226011,0.018499245680365192,0.01175077703144568
500260.0,FY25,Building Materials,Basic Materials,0.013994652056914865,0.012825591841295,0.008586596303470818,0.1832943915245685,0.01566172492246676,0.013815095800135863
500266.0,FY25,Asset Management,Financial Services,0.01967934493287606,0.01861729052501196,0.011292003514131293,0.27600359824051923,0.02606875919896233,0.02277084900741979
500271.0,FY25,Insurance - Life,Financial Services,0.013229882307116077,0.012659607661625848,0.007052055609009257,0.08775312190860518,0.015810609321015554,0.013682147275892809
500290.0,FY25,Auto Parts,Consumer Cyclical,0.01398411954344211,0.013371509741201146,0.006896354347647118,0.1655356210959874,0.013929494742072585,0.011930673390746924
500295.0,FY25,Other Industrial Metals & Mining,Basic Materials,0.01569571085234919,0.014206268665947113,0.006768786327501241,0.06847353751949703,0.022304308786069867,0.014193872939749897
500312.0,FY25,Oil & Gas Integrated,Energy,0.012444393772711632,0.011083463266247177,0.005124908300128676,0.08355486733931838,0.01663469460338875,0.012606859217731588
500325.0,FY25,Oil & Gas Refining & Marketing,Energy,0.011139451411400582,0.009212367315581385,0.006757569182481405,0.13523326236467703,0.013867157153653503,0.010152463159029276
500368.0,FY25,Packaged Foods,Consumer Defensive,0.012885620222166019,0.012025072251671732,0.00979909691931876,0.18603204729844947,0.015935103549517358,0.01402069636402968
500387.0,FY25,Building Materials,Basic Materials,0.010391984734911264,0.009505706082016912,0.005528869897862897,0.20060571462254995,0.013424656877743659,0.011346440484668568
500400.0,FY25,Utilities - Independent Power Producers,Utilities,0.010888090746436332,0.007441302252953068,0.004478514024719466,0.185349081374799,0.016996641286080007,0.01066470928189851
500403.0,FY25,Auto Parts,Consumer Cyclical,0.014039925624629229,0.013549400399911149,0.00627253486996233,0.13983847327760968,0.01656452771941647,0.015010464691074114
500408.0,FY25,Software - Application,Technology,0.017388035826137946,0.014867858265636044,0.006464137435143536,0.2377742559256366,0.021028944929151305,0.015642343399968714
500410.0,FY25,Building Materials,Basic Materials,0.010363856846060384,0.009504631613570094,0.005267013123198971,0.163843823618123,0.012872756429739115,0.009897176007342016
500411.0,FY25,Conglomerates,Industrials,0.015256719617323,0.014772387290092425,0.011588206661490873,0.2967929682727326,0.02622469852125359,0.02449003450956264
500420.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.012054076994199407,0.011544850234278096,0.0054370589521084214,0.06724884087644967,0.014713728664459375,0.013219715122377537
500425.0,FY25,Building Materials,Basic Materials,0.01338258253582907,0.010806374200161261,0.007752645866050754,0.18056271224303844,0.014664440083054786,0.012393539951249184
500459.0,FY25,Household & Personal Products,Consumer Defensive,0.011545816441531617,0.011435042302205097,0.005980994670250321,0.1691128580265382,0.014155331717147933,0.013806196625101661
500469.0,FY25,Banks - Regional,Financial Services,0.01320811257299869,0.012359877873706236,0.006028574699888674,0.08233805755988977,0.0152578917498453,0.013474316184335929
500470.0,FY25,Steel,Basic Materials,0.01644663174020369,0.013656525344223092,0.00812807078762904,0.13240450349824917,0.019595935878247855,0.014192790965342775
500490.0,FY25,Asset Management,Financial Services,0.018261141726411925,0.017946794502765942,0.010880251906366184,0.25558483679581456,0.023945780099160274,0.02029379824277972
500493.0,FY25,Auto Parts,Consumer Cyclical,0.016158599062057143,0.012967272617204095,0.00781377412463955,0.07621567604086266,0.02211772238708792,0.01681670701050534
500495.0,FY25,Farm & Heavy Construction Machinery,Industrials,0.01801893155812603,0.017401991724867484,0.009343939357452905,0.17007186674088004,0.01984032183408467,0.015746986147701578
500510.0,FY25,Engineering & Construction,Industrials,0.010413909606996717,0.009250646947596095,0.005622942893684634,0.10052952563990925,0.015371045761775566,0.010697932645045012
500520.0,FY25,Auto Manufacturers,Consumer Cyclical,0.014549433031264259,0.013080125689072953,0.008624575886905805,0.12105774639991929,0.0181748071780486,0.014271907381601999
500530.0,FY25,Auto Parts,Consumer Cyclical,0.012611348989983125,0.011174926412011442,0.00826342102349861,0.21295480753128215,0.01566720207529353,0.013883401915096964
500547.0,FY25,Oil & Gas Refining & Marketing,Energy,0.014265956247237766,0.012826570122999016,0.006577532370226142,0.10055399393017495,0.017492621841665525,0.013894064474474749
500575.0,FY25,"Furnishings, Fixtures & Appliances",Consumer Cyclical,0.016648606356327866,0.014995395613505559,0.011086750661311224,0.1392098185498447,0.023806987925481197,0.02210742931280257
500620.0,FY25,Marine Shipping,Industrials,0.016246512061432794,0.014169828978746772,0.008031491643733464,0.07894111209379251,0.02228845551824695,0.019017749400065963
500645.0,FY25,Chemicals,Basic Materials,0.020097109411527033,0.018334961126132438,0.011469603745867868,0.3110333369246402,0.0321949083144524,0.028602283791808267
500696.0,FY25,Household & Personal Products,Consumer Defensive,0.01136655027140287,0.011238855837009013,0.007751785642499178,0.15383991205133596,0.011674562522140155,0.011310941948881938
