Outcome,AR_var,N,AINDEX_beta,AINDEX_p,BINDEX_beta,BINDEX_p,CINDEX_beta,CINDEX_p,DINDEX_beta,DINDEX_p,OINDEX_beta,OINDEX_p,TRINDEX_beta,TRINDEX_p,audit_fees_inr_crore_beta,audit_fees_inr_crore_p,board_size_beta,board_size_p,board_independence_ratio_beta,board_independence_ratio_p,board_meeting_count_beta,board_meeting_count_p
capm_alpha,board_independence_ratio,117,0.05373974076175474,0.6198312995573851,0.020316858846166432,0.8048270706711251,0.03244800742036953,0.5705310671886716,-0.13100905362594215,0.08748402373303042,-0.010745731628513396,0.8989576014870013,-0.1489359449298547,0.13114910987900624,,,,,0.35295385731856943,0.6680667319750906,,
ff5_alpha,board_independence_ratio,117,0.17279406057538346,0.1486744136593644,-0.023346530522548647,0.8734340134014842,0.07114651084116401,0.5633786510145369,-0.18831902001453366,0.14911711129025346,-0.10078347743270538,0.32616221420565283,-0.22362142947073935,0.05536160744791021,,,,,-2.1139569344846105,0.14850606175660355,,
total_vol,board_independence_ratio,117,-0.0009747608692367778,0.4007537283178343,-0.0004694721469670001,0.6813871891289625,0.0002867602494545368,0.7274651733570119,-0.0012499673449183307,0.16256371331729322,0.0004037763704854694,0.6669520839724886,0.00035265872678871384,0.7120755469561885,,,,,0.010877264753083371,0.3121668744174031,,
idio_vol,board_independence_ratio,117,-0.0007982775037486857,0.42501419164949417,-0.0005941807348961364,0.5569625635152547,0.0002204283713917873,0.759679924821745,-0.0011809670053693105,0.16604985382252263,0.0005155846340761714,0.5042145792681416,0.00027456871459617704,0.7492313120833671,,,,,0.008680799800916883,0.3380009446649048,,
downside_vol,board_independence_ratio,117,-0.00041136122250201687,0.47768935323317807,-0.0003722083316373297,0.4667482388190941,0.0004492279583260327,0.3235628240543277,-0.000549210707679811,0.2844421386732271,0.0002462185713439126,0.6192374441938613,0.00017379395534171526,0.7128948969433874,,,,,0.00404495606262057,0.4662280949476699,,
roe,board_independence_ratio,117,0.015048519792433641,0.6535358095602268,-0.006755127559578932,0.6753888874880994,-0.012333193832489561,0.3361189477392438,-0.034739640422155355,0.10447204222181224,-0.034301246334381835,0.2805853558535676,-0.0062671563142547475,0.7779063702319539,,,,,-0.25683919187466986,0.25962108882034785,,
mar_pct,board_meeting_count,95,0.020531794186179526,0.8729090161669397,0.07318305635317826,0.45402414345184905,0.04873630152945655,0.6160708941855455,-0.1654223008121719,0.13224552015880645,-0.021899455602437615,0.8551459899080449,-0.002044173356444879,0.9858322558406072,,,,,,,0.000922109784548399,0.9800838527873996
capm_alpha,board_meeting_count,95,0.02476814211577242,0.832155100271208,0.04886558504597982,0.6015794807457385,0.05095367614754927,0.5458438432748816,-0.15628271025413376,0.11697590651867885,-0.02227459267152764,0.842723142622771,-0.007253607762994228,0.944233904986024,,,,,,,-0.013511377645575183,0.6972300765606385
ff5_alpha,board_meeting_count,95,-0.023608367658028605,0.895139958691183,0.04674248716421778,0.8028955920601843,-0.06206745993405999,0.6823798237301529,-0.20672476217934332,0.24115694959871725,-0.14711177941977904,0.363576290681042,-0.06282456876522048,0.5692648999323533,,,,,,,-0.03470721281623918,0.6354035676335519
total_vol,board_meeting_count,95,-0.0005123825351141384,0.50302957061208,0.00026088031134104253,0.8496361215901601,-2.7370318840847378e-05,0.9823501556068067,-0.003373322030696865,0.04197663271272277,-0.0017756642940572997,0.09494733632833842,0.0005109170155574078,0.6277230278946531,,,,,,,-8.169302587396068e-05,0.8010396932377721
idio_vol,board_meeting_count,95,-0.0003949748702290043,0.5519723121746816,0.0003956463427963092,0.6987288758014456,5.9094743469112216e-05,0.9398514127857729,-0.0031238559522525997,0.03227802524104789,-0.0015974019103837456,0.09526495932678485,0.00043797486570094056,0.6269700041890394,,,,,,,-0.0002386464132047549,0.4087017974021271
downside_vol,board_meeting_count,95,-0.00088180438605435,0.3148813426256516,-0.00048809595032626817,0.5928443186128763,0.00014689367692349823,0.834123049080906,-0.0013853800740760394,0.2763865378387754,-0.0007848815350090663,0.30530319141696854,0.0016001152480738196,0.17847218731017495,,,,,,,-0.0001973491615295731,0.4672503297944831
roe,board_meeting_count,95,0.006695687133386353,0.7950317989230581,0.010808968843139031,0.7094862064870938,0.0010991808309984664,0.9587563573750859,-0.039724920880817215,0.40338286840678117,0.010282448182744312,0.6807448585319247,-0.0005714415019941548,0.9848905611447523,,,,,,,-0.004345920085790113,0.6114066671740483
