NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_obs,beta,total_vol,downside_vol
UCOBANK,532505,Banks - Regional,Financial Services,FY23,2022-10-11,2022-10-12,2023-10-18,252,1.4293074822798075,0.03528313507687066,0.015578212814453613
IGL,532514,Utilities - Regulated Gas,Utilities,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.0794808403517777,0.017984687342560344,0.013074721231409615
PETRONET,532522,Oil & Gas Refining & Marketing,Energy,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.6282178912368402,0.01473872817055439,0.011239675162515663
COFORGE,532541,Information Technology Services,Technology,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.1850553330835802,0.018714447234620592,0.010072814010232987
IIFL,532636,Credit Services,Financial Services,FY23,2022-07-25,2022-07-26,2023-08-02,252,0.9713589542671675,0.0226649550531822,0.012001331896860826
YESBANK,532648,Banks - Regional,Financial Services,FY23,2022-10-12,2022-10-13,2023-10-19,252,1.2049942624069225,0.022991374026234256,0.0142369912680154
AIAENG,532683,Specialty Industrial Machinery,Industrials,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.32598915264943085,0.01581707832826448,0.008341823282570245
KEC,532714,Engineering & Construction,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.8859390016920063,0.022561039233337802,0.010678024135896035
M&MFIN,532720,Credit Services,Financial Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.2577648675506372,0.019874164061026406,0.009349785909919523
SOLARINDS,532725,Specialty Chemicals,Basic Materials,FY23,2023-04-11,2023-04-12,2024-04-24,252,0.6400172488029381,0.02231897028333188,0.012840935764432113
GALLANTT,532726,Steel,Basic Materials,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.2019493455695531,0.026624610670747166,0.017319538106976975
GPIL,532734,Steel,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.5089838975081489,0.02531029541668647,0.013445803127032958
GMRAIRPORT,532754,Airports & Air Services,Industrials,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.507663460654858,0.020680355265123886,0.013243285034893514
NAUKRI,532777,Internet Content & Information,Communication Services,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.4761437499608054,0.01894964935501287,0.011973678203450711
SOBHA,532784,Real Estate - Development,Real Estate,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1112903348141276,0.025065082008672853,0.014954761729447912
REDINGTON,532805,Information Technology Services,Technology,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.0740420536700341,0.019936803474390374,0.01219712203325307
FSL,532809,Information Technology Services,Technology,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.1940192285491793,0.018911161272456307,0.009974360477903272
PFC,532810,Credit Services,Financial Services,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.8399360939505391,0.022056935023888204,0.009927978197307898
INDIANB,532814,Banks - Regional,Financial Services,FY23,2022-10-15,2022-10-17,2023-10-23,252,1.247820973516879,0.02472896816810409,0.014271678748489761
IDEA,532822,Telecom Services,Communication Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.4392323271245395,0.02954960255445948,0.012592006469271904
ASTRAL,532830,Building Products & Equipment,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.9668905115297494,0.016411268744539142,0.009690972321446868
DLF,532868,Real Estate - Development,Real Estate,FY23,2022-10-07,2022-10-10,2023-10-16,252,1.4337460397865769,0.016311746420156915,0.0071824365669076835
KPRMILL,532889,Textile Manufacturing,Consumer Cyclical,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.7478787405122497,0.018970563830803554,0.009838109013898755
ECLERX,532927,Information Technology Services,Technology,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.7401808716789506,0.021016188004028713,0.010404304292323117
BRIGADE,532929,Real Estate - Development,Real Estate,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.5749624066798822,0.01710012611282932,0.00973270876738638
RPOWER,532939,Utilities - Independent Power Producers,Utilities,FY23,2022-10-21,2022-10-24,2023-10-31,252,2.0346706982866873,0.032457963763668114,0.015544800173337587
IRB,532947,Infrastructure Operations,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.7635940191534218,0.02900593234161325,0.016370072917362116
VGUARD,532953,Electrical Equipment & Parts,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.6954941318241408,0.01445711702942951,0.00687216590673885
ZFCVINDIA,533023,Auto Parts,Consumer Cyclical,FY23,2023-01-19,2023-01-20,2024-02-01,252,0.514034438474906,0.016854310395952733,0.009781326226227733
ADANIPOWER,533096,Utilities - Independent Power Producers,Utilities,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.9167425164662664,0.030701466471756474,0.015848816334778373
NHPC,533098,Utilities - Renewable,Utilities,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.8326374231427929,0.018800087661241242,0.011532893008970474
OIL,533106,Oil & Gas Integrated,Energy,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.6208774921424377,0.01781996914535999,0.010337758101590325
JUBLFOOD,533155,Restaurants,Consumer Cyclical,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.9826788459310596,0.01629806170068865,0.010099946511460848
PERSISTENT,533179,Information Technology Services,Technology,FY23,2023-04-20,2023-04-21,2024-05-03,252,0.7481841247136034,0.017497420500380348,0.012645072866165548
SJVN,533206,Utilities - Renewable,Utilities,FY23,2022-10-04,2022-10-06,2023-10-12,252,1.7045415738715812,0.029793151044583827,0.014645524548194072
OBEROIRLTY,533273,Real Estate - Development,Real Estate,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.3753100795921558,0.01590285897136157,0.009808715603985873
PRESTIGE,533274,Real Estate - Diversified,Real Estate,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.6881460488784799,0.02096418422722938,0.011976563420790893
KIRLOSENG,533293,Specialty Industrial Machinery,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,1.1853801808154452,0.029053358003968525,0.015408443678121768
LTF,533519,Credit Services,Financial Services,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.7272932530665819,0.01843816737202965,0.008020838241664061
APLLTD,533573,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.7443125598020381,0.018374305455828695,0.008849394616129656
PGEL,533581,Electronic Components,Technology,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.0184079537433903,0.023882073518523266,0.013522113584435547
TRITURBINE,533655,Specialty Industrial Machinery,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.1203232403818035,0.025421762656465643,0.013330779822141755
MCX,534091,Financial Data & Stock Exchanges,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.7964011479942128,0.021601677508072556,0.01447574937430854
NBCC,534309,Engineering & Construction,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,2.0308469880232316,0.026719069794327865,0.012131090731424748
INDUSTOWER,534816,Telecom Services,Communication Services,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.4660410048641364,0.023397843728545215,0.013589175042624777
INOXWIND,539083,Specialty Industrial Machinery,Industrials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1628904205345205,0.03050708985344244,0.015367504919569073
SYNGENE,539268,Diagnostics & Research,Healthcare,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.6539907870369142,0.0156479163938976,0.01033800630899635
IDFCFIRSTB,539437,Banks - Regional,Financial Services,FY23,2022-10-15,2022-10-17,2023-10-23,252,1.4098008170541194,0.017041192053054405,0.008906713675479133
INDIGO,539448,Airlines,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.9361934634108307,0.01542550640029824,0.00936118923933588
ALKEM,539523,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.4809117737715255,0.012682605137334477,0.008935110334175985
LALPATHLAB,539524,Diagnostics & Research,Healthcare,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.5964138782280841,0.018367273351324594,0.01207776434427834
NH,539551,Medical Care Facilities,Healthcare,FY23,2022-10-15,2022-10-17,2023-10-23,252,0.42666757714213016,0.016261807503764054,0.010054746749131881
LTTS,540115,Information Technology Services,Technology,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.1439097189583285,0.01742723744675157,0.01004655884966371
ENDURANCE,540153,Auto Parts,Consumer Cyclical,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.4118626566805942,0.014044129245752875,0.007517252043951495
PNBHOUSING,540173,Mortgage Finance,Financial Services,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.6909267894688558,0.027897985801564055,0.015229475959778254
VBL,540180,Beverages - Non-Alcoholic,Consumer Defensive,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.5251427298177134,0.021238584948104666,0.013742002290441894
LAURUSLABS,540222,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.9482060191755093,0.020484630246853444,0.015283955534074058
DMART,540376,Discount Stores,Consumer Defensive,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.5789598859523869,0.01405697231257603,0.009759436457775116
HUDCO,540530,Credit Services,Financial Services,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.879216692748563,0.030172252490339016,0.014877630017005043
ERIS,540596,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.4370341945245304,0.013906321109587248,0.007912753444144351
AUBANK,540611,Banks - Regional,Financial Services,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.0616840081310837,0.01817995399531716,0.008832132914733984
COCHINSHIP,540678,Aerospace & Defense,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,1.9637762926950244,0.03299752640021117,0.017235598565522463
DIXON,540699,Consumer Electronics,Technology,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.3983992576613065,0.022532874680964238,0.01688610742593456
GICRE,540755,Insurance - Reinsurance,Financial Services,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.9138495364799382,0.031349767603319395,0.017784695290938467
NIACL,540769,Insurance - Diversified,Financial Services,FY23,2022-10-12,2022-10-13,2023-10-19,252,1.6013128346024839,0.027698284090756604,0.014699901261866833
AMBER,540902,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY23,2022-10-11,2022-10-12,2023-10-18,252,0.7896422668084111,0.0197718818887747,0.008128467562575244
ASTERDM,540975,Medical Care Facilities,Healthcare,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.36975057728788274,0.02106633485685956,0.013285310555646048
BDL,541143,Aerospace & Defense,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,1.0541380697527911,0.0229443594701742,0.012578648119615905
HAL,541154,Aerospace & Defense,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,1.1461692572948623,0.018051046649725778,0.009585446735078164
ADANIGREEN,541450,Utilities - Renewable,Utilities,FY23,2023-04-21,2023-04-24,2024-05-06,252,1.6484494093180064,0.02869891608068987,0.011502018187783576
