BSE Code,Q_FY,Category,Avg_Score
500027.0,Q1FY24,AINDEX,0.6625
500027.0,Q1FY24,BINDEX,0.4901756097560976
500027.0,Q1FY24,DINDEX,0.029411764705882353
500027.0,Q1FY24,OINDEX,0.7454999999999999
500027.0,Q1FY24,TRINDEX,0.53596
500027.0,Q1FY25,AINDEX,0.657025
500027.0,Q1FY25,BINDEX,0.44683902439024387
500027.0,Q1FY25,DINDEX,0.029411764705882353
500027.0,Q1FY25,OINDEX,0.7454999999999999
500027.0,Q1FY25,TRINDEX,0.53596
500027.0,Q1FY26,AINDEX,0.5464249999999999
500027.0,Q1FY26,BINDEX,0.3699219512195122
500027.0,Q1FY26,DINDEX,0.029411764705882353
500027.0,Q1FY26,OINDEX,0.7454999999999999
500027.0,Q1FY26,TRINDEX,0.6359600000000001
500027.0,Q2FY22,AINDEX,0.5646875
500027.0,Q2FY22,BINDEX,0.4288585365853658
500027.0,Q2FY22,DINDEX,0.029411764705882353
500027.0,Q2FY22,OINDEX,0.7454999999999999
500027.0,Q2FY22,TRINDEX,0.43596
500027.0,Q2FY23,AINDEX,0.6896875
500027.0,Q2FY23,BINDEX,0.45514146341463413
500027.0,Q2FY23,DINDEX,0.029411764705882353
500027.0,Q2FY23,OINDEX,0.7454999999999999
500027.0,Q2FY23,TRINDEX,0.43596
500027.0,Q2FY24,AINDEX,0.7558750000000001
500027.0,Q2FY24,BINDEX,0.3943512195121951
500027.0,Q2FY24,DINDEX,0.029411764705882353
500027.0,Q2FY24,OINDEX,0.7454999999999999
500027.0,Q2FY24,TRINDEX,0.43596
500027.0,Q2FY25,AINDEX,0.7504
500027.0,Q2FY25,BINDEX,0.3769170731707317
500027.0,Q2FY25,DINDEX,0.029411764705882353
500027.0,Q2FY25,OINDEX,0.7454999999999999
500027.0,Q2FY25,TRINDEX,0.43596
500027.0,Q2FY26,AINDEX,0.5464249999999999
500027.0,Q2FY26,BINDEX,0.3782731707317073
