NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_trading_days,cum_return,cum_mkt_return,mar_log,mar_pct,iar_pct,sar_pct
CHAMBLFERT,500085,Agricultural Inputs,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.015231201093377606,0.01586350129873997,-0.0006226201319356611,-0.0006224263442421085,-0.13123556314227375,-0.03657578351327051
CRISIL,500092,Financial Data & Stock Exchanges,Financial Services,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.11423167196259612,0.01586350129873997,0.09242609292811997,0.09683207491764048,-0.126866045739467,-0.028716402491511778
CGPOWER,500093,Electrical Equipment & Parts,Industrials,FY25,2024-10-19,2024-10-21,2025-10-28,252,-0.09915488524129844,0.01586350129873997,-0.12016093087459441,-0.11322228467997138,-0.0030653521363732117,0.0008205149375163784
IFCI,500106,Credit Services,Financial Services,FY25,2024-10-04,2024-10-07,2025-10-13,252,-0.03713756320238965,-0.010203907187896858,-0.02758840206440802,-0.027211317775534715,-0.1439249698286994,-0.18008563765649754
SAIL,500113,Steel,Basic Materials,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.03945988743210989,0.01984430810732826,0.019051262707300592,0.019233895967106077,-0.056604421110416914,-0.012347097174538225
EIDPARRY,500125,Agricultural Inputs,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.3094961179582519,0.01586350129873997,0.253903429423865,0.28904731421506397,0.16302935372260052,0.25768913335160376
GODFRYPHLP,500163,Tobacco,Consumer Defensive,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.3261000655039365,0.01586350129873997,0.2665033620821144,0.3053919781629833,0.21618280634108983,0.41314926769917615
GODREJIND,500164,Conglomerates,Industrials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.014724491559871626,0.01586350129873997,-0.0011218522539606854,-0.0011212232129731664,0.062431959492954776,0.11469989173868644
KANSAINER,500165,Specialty Chemicals,Basic Materials,FY25,2024-10-16,2024-10-17,2025-10-24,252,-0.1484000319089118,0.0005681212060113779,-0.1612063433184346,-0.14888356920203283,0.022323628969122905,-0.20020701651555992
HDFCBANK,500180,Banks - Regional,Financial Services,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.2139079001550986,0.01984430810732826,0.17419484844261368,0.1902874688862284,0.017953674013485854,0.07095982570099071
HEROMOTOCO,500182,Auto Manufacturers,Consumer Cyclical,FY25,2024-10-15,2024-10-16,2025-10-23,252,0.035224601362532415,0.0008510881305343116,0.03376768316188278,0.03434428322019769,-0.20182223517728806,0.0
HSCL,500184,Specialty Chemicals,Basic Materials,FY25,2024-10-07,2024-10-08,2025-10-14,252,-0.21967467037644814,9.065512482045053e-05,-0.24813500801097593,-0.21974540445419907,-0.04895100949841344,-0.27148165498309623
HINDZINC,500188,Other Industrial Metals & Mining,Basic Materials,FY25,2024-10-09,2024-10-10,2025-10-16,252,0.03180215259461238,-0.0015169252325268464,0.03282501300648705,0.03336969716276721,-0.04634552863819338,-0.020004832012035734
INFY,500209,Information Technology Services,Technology,FY25,2024-10-17,2024-10-18,2025-10-27,252,-0.19281296020545924,0.01984430810732826,-0.23384984236184428,-0.2085193461612255,-0.21425090441767242,-0.23356011381305797
