BSE Code,NSE Symbol,FY,Industry,n_obs,mar_pct,capm_alpha,ff5_alpha,total_vol,idio_vol,downside_vol,roe
500425.0,AMBUJACEM,FY23,Building Materials,250,0.11891698812613896,-0.10019431169621124,0.08095094913238485,0.022167529877624634,0.015215860099671045,0.008942114868762743,0.086206397424664
500459.0,PGHH,FY23,Household & Personal Products,250,-0.19852639838527042,-0.031840620811520275,0.11735022945044371,0.013388092903586137,0.013196914377303344,0.007377176135054508,0.8711509175851121
500469.0,FEDERALBNK,FY23,Banks - Regional,250,0.0879583242617997,0.0864719070807832,0.15742082415228306,0.015944432042773453,0.013307042337642964,0.008975271281928184,0.1288949308705369
500470.0,TATASTEEL,FY23,Steel,250,0.019547955123703678,-0.11208981690351015,-0.05443423308899459,0.017983968056468545,0.012105565005237245,0.007176863108277318,-0.0482143027883944
500490.0,BAJAJHLDNG,FY23,Asset Management,250,-0.057668464567185516,0.08815476970450148,0.012529619903716486,0.016319471375311444,0.01582733988751077,0.009428385135492264,0.1339639367779277
500493.0,BHARATFORG,FY23,Auto Parts,250,0.4559493781918299,0.31381904637926517,0.15086861553091374,0.022247773906149234,0.018639550371553813,0.013209061983851439,0.1326504312860032
500495.0,ESCORTS,FY23,Farm & Heavy Construction Machinery,250,0.20920209599475476,0.2801842886744094,0.20396659106403497,0.017688365007033826,0.016337580207477935,0.009430188396553211,0.1146774088753167
500510.0,LT,FY23,Engineering & Construction,250,0.13928570975097912,0.05150543079662499,0.22379750369213752,0.01707828709932804,0.012730879904647906,0.008994307687146257,0.1512184451831674
500520.0,M&M,FY23,Auto Manufacturers,250,0.34761694495017514,0.3363180881395704,0.42029879758414906,0.018666383684078514,0.01634771391509842,0.010898060005147415,0.1702454504457207
500530.0,BOSCHLTD,FY23,Auto Parts,250,0.24546242090954862,0.34445895122485304,0.6767891144264001,0.014250274118170298,0.012956830530621995,0.008615713509343922,0.2066285695327986
500547.0,BPCL,FY23,Oil & Gas Refining & Marketing,250,0.32016640335660435,0.14977606457048287,0.14438353695288936,0.021622643569328207,0.016989722382440266,0.009593943420833875,0.3551107415590458
500575.0,VOLTAS,FY23,"Furnishings, Fixtures & Appliances",250,0.39837683401305957,0.41867450685796237,-0.10808969697864161,0.018284324630865392,0.016314190707211185,0.010017303658242716,0.0432952495490078
500620.0,GESHIP,FY23,Marine Shipping,250,0.32904121616903564,0.29573858901048006,0.16156321445665106,0.02331460196424319,0.021258646438444162,0.011101808590179325,0.2108643309712884
500645.0,DEEPAKFERT,FY23,Chemicals,250,0.13286685165775197,0.08714525033008559,0.27768071550312734,0.026914212735653593,0.024938053077489877,0.015245044697667147,0.0817124905492189
500696.0,HINDUNILVR,FY23,Household & Personal Products,250,-0.2593866404133847,-0.08673666676504801,-0.04508865817905448,0.01176888111968507,0.011637030516683609,0.008494220659056912,0.2006521144909992
500770.0,TATACHEM,FY23,Chemicals,250,-0.1986955383216931,-0.2560199196499523,-0.14639230124342492,0.02174336614819336,0.01861061862216617,0.012694823814619817,0.0120498179038712
500790.0,NESTLEIND,FY23,Packaged Foods,250,-0.1984672404829187,-0.04253170376202093,0.10361939566604735,0.01188841527349405,0.011734837992618343,0.007628473527768763,
500800.0,TATACONSUM,FY23,Packaged Foods,250,0.002032724212979095,0.15363617788658443,-0.04556959165847258,0.014121836141114924,0.01352617392188394,0.007834017315456389,0.0716413430081604
500830.0,COLPAL,FY23,Household & Personal Products,250,0.31602826844132365,0.5694933037514021,0.41263047577284306,0.01472333465518809,0.014441229911632407,0.00910432691345958,0.7061930472267868
500850.0,INDHOTEL,FY23,Lodging,250,0.1546720991849181,0.08462447891570815,0.3211687338735964,0.018408331853833473,0.014906705336984872,0.00857803627463034,0.1331412286591975
500870.0,CASTROLIND,FY23,Oil & Gas Refining & Marketing,250,0.3523667451968063,0.2213750443919859,-0.09981579126502003,0.0274963493009531,0.02465049987512848,0.010656301940045968,0.4072838162031211
500875.0,ITC,FY23,Tobacco,250,-0.23355230465660792,-0.12871926716892595,-0.06300609083807901,0.011874252010277087,0.011054578460974818,0.0063033171943601175,0.2745886963641
500877.0,APOLLOTYRE,FY23,Auto Parts,250,-0.03638109649734794,-0.0398071751189952,-0.32675710708085237,0.01851671927838868,0.016266464636192853,0.011587583657499996,0.1238557823824096
500878.0,CEATLTD,FY23,Auto Parts,250,-0.2035703086033377,-0.14613375272466267,-0.14566551879731257,0.018988639898410493,0.017896301055482785,0.01008635219844105,0.1589690818555339
501301.0,TATAINVEST,FY23,Asset Management,250,0.9013962451727383,1.0459876884943538,-0.11839856371616986,0.03271548253704485,0.03211835417023853,0.014867805965806271,0.0128470641332352
502355.0,BALKRISIND,FY23,Auto Parts,250,0.0003738304482037881,0.04291792927192568,0.3895222956841879,0.01833821144027496,0.01681928527871208,0.010075568886251022,0.1661985066316083
503100.0,PHOENIXLTD,FY23,Real Estate - Diversified,250,0.5781318292095815,0.6179694289656533,0.26035343390639504,0.024612028799501574,0.02330795715184904,0.014518535802163064,0.1162235555728019
503806.0,SRF,FY23,Conglomerates,250,-0.2050651431624102,-0.19665664319589823,-0.14891551707135017,0.014484978478544927,0.011846042842698355,0.008748562023431977,0.1163609785504337
504614.0,SARDAEN,FY23,Steel,250,0.07848407260026126,-0.08551639776666822,-0.5045358371833016,0.03015817093762867,0.0265007159507317,0.015273207081555338,0.1344943219223173
504973.0,CHOLAHLDNG,FY23,Credit Services,250,0.17360185835225195,0.2721805541926205,1.1201088379915953,0.02054052046567502,0.019659407163284542,0.009821219632272515,0.1730684171521803
505200.0,EICHERMOT,FY23,Auto Manufacturers,250,0.08192932534961044,0.1467029019872439,-0.23307200127629507,0.015021397248394814,0.013423547922611091,0.00849721779477355,0.2217175112063763
505790.0,SCHAEFFLER,FY23,Auto Parts,250,-0.05427303150895422,-0.029503575629438072,-0.5220791754553391,0.020364336844933634,0.01881004576712223,0.012290488679325619,0.187087308936914
506285.0,BAYERCROP,FY23,Agricultural Inputs,250,0.01792482699806982,0.16200712064238332,-0.19838750094794383,0.017232438580801937,0.016680345632140083,0.00958943114145891,0.2598792728293675
506401.0,DEEPAKNTR,FY23,Chemicals,250,0.14379437823981692,0.12863639046447087,-0.15421318725538802,0.01776860698093757,0.015220136441428792,0.008964117418272657,0.1690544591816737
506820.0,ASTRAZEN,FY23,Drug Manufacturers - Specialty & Generic,250,0.325398297099303,0.3902278222269037,0.24904907107015412,0.026250060118934306,0.02527215118541266,0.01573431120180232,0.2268653781323744
506943.0,JBCHEPHARM,FY23,Drug Manufacturers - Specialty & Generic,250,0.12297018335063949,0.2734486479434927,-0.1544197954364288,0.019344049874445463,0.018823587787113114,0.010979271639741446,0.1890405572851474
507685.0,WIPRO,FY23,Information Technology Services,250,-0.09757302849732263,-0.06492136461895258,-0.13975952560254903,0.016756098472192622,0.014959204525493909,0.010251384594886743,0.147292310933839
508869.0,APOLLOHOSP,FY23,Medical Care Facilities,250,-0.09174044341787507,0.03518460078305386,-0.14037338373749159,0.01416843606518118,0.013470413806233966,0.00881880265498878,0.1295671482538858
