NSE Symbol,BSE Code,Industry,Sector,FY,FY_End,net_income,equity,roe,CG_Filing_Date
ANANDRATHI,543415,Asset Management,Financial Services,FY24,2024-03-31,2249744000.0,6488540000.0,0.3467257657346645,2023-10-19
ANANDRATHI,543415,Asset Management,Financial Services,FY25,2025-03-31,2998253000.0,6739751000.0,0.44486109353298064,2024-10-16
ANGELONE,543235,Capital Markets,Financial Services,FY23,2023-03-31,8899540000.0,21615580000.0,0.41171876951717234,2022-10-14
ANGELONE,543235,Capital Markets,Financial Services,FY24,2024-03-31,11255280000.0,30386030000.0,0.37040969155891706,2023-10-11
ANGELONE,543235,Capital Markets,Financial Services,FY25,2025-03-31,11720810000.0,56213980000.0,0.20850347191214713,2024-10-13
APOLLOTYRE,500877,Auto Parts,Consumer Cyclical,FY23,2023-03-31,10458440000.0,125781990000.0,0.08314735678772454,2022-10-21
APOLLOTYRE,500877,Auto Parts,Consumer Cyclical,FY24,2024-03-31,17218660000.0,139021850000.0,0.12385578238240967,2023-10-19
APOLLOTYRE,500877,Auto Parts,Consumer Cyclical,FY25,2025-03-31,11213200000.0,147656990000.0,0.07594086808894046,2024-10-17
ASTERDM,540975,Medical Care Facilities,Healthcare,FY23,2023-03-31,4249100000.0,44480700000.0,0.09552682399332744,2022-10-13
ASTERDM,540975,Medical Care Facilities,Healthcare,FY24,2024-03-31,1292800000.0,45597900000.0,0.028352182885615345,2023-10-17
ASTERDM,540975,Medical Care Facilities,Healthcare,FY25,2025-03-31,53778300000.0,34280700000.0,1.5687631816153111,2024-10-21
AIIL,539177,Capital Markets,Financial Services,FY23,2023-03-31,43040300000.0,34164200000.0,1.2598070494845481,2023-01-14
AIIL,539177,Capital Markets,Financial Services,FY24,2024-03-31,42848300000.0,103451000000.0,0.41418932634773953,2023-10-21
AIIL,539177,Capital Markets,Financial Services,FY25,2025-03-31,42414100000.0,146893400000.0,0.28874067861455993,2024-10-18
BAJFINANCE,500034,Credit Services,Financial Services,FY23,2023-03-31,115076900000.0,543719800000.0,0.21164743310800893,2022-10-19
BAJFINANCE,500034,Credit Services,Financial Services,FY24,2024-03-31,144511700000.0,766953500000.0,0.18842302695013452,2023-10-17
BAJFINANCE,500034,Credit Services,Financial Services,FY25,2025-03-31,166378200000.0,966928700000.0,0.1720687368158583,2024-10-19
BASF,500042,Specialty Chemicals,Basic Materials,FY23,2023-03-31,4028900000.0,27011800000.0,0.14915333298780534,2022-10-10
BASF,500042,Specialty Chemicals,Basic Materials,FY24,2024-03-31,5632700000.0,32235000000.0,0.17473863812626028,2023-10-14
BASF,500042,Specialty Chemicals,Basic Materials,FY25,2025-03-31,4790600000.0,36342800000.0,0.13181703115885401,2024-10-17
BATAINDIA,500043,Footwear & Accessories,Consumer Cyclical,FY23,2023-03-31,3230040000.0,14382100000.0,0.22458750808296424,2022-10-18
BATAINDIA,500043,Footwear & Accessories,Consumer Cyclical,FY24,2024-03-31,2625110000.0,15268930000.0,0.17192494824457247,2023-10-16
BATAINDIA,500043,Footwear & Accessories,Consumer Cyclical,FY25,2025-03-31,3306560000.0,15749630000.0,0.20994524950744875,2024-10-18
BAYERCROP,506285,Agricultural Inputs,Basic Materials,FY23,2023-03-31,7582000000.0,27121000000.0,0.27956196305445963,2022-10-17
BAYERCROP,506285,Agricultural Inputs,Basic Materials,FY24,2024-03-31,7405000000.0,28494000000.0,0.25987927282936757,2023-10-19
BAYERCROP,506285,Agricultural Inputs,Basic Materials,FY25,2025-03-31,5680000000.0,28504000000.0,0.19927027785573956,2024-10-15
