BSE Code,FY,AINDEX,AINDEX_new_sub,AINDEX_augmented,BINDEX,BINDEX_new_sub,BINDEX_augmented,CINDEX,CINDEX_new_sub,CINDEX_augmented,DINDEX,OINDEX,TRINDEX
500184.0,FY23,0.608438888888889,0.38235294117647056,0.49539591503267977,0.7262043103448277,,0.7262043103448277,0.3791778016161097,,0.3791778016161097,0.0384615384615384,0.5344500000000001,0.765475
500184.0,FY24,0.5704722222222223,,0.5704722222222223,0.7421655172413794,,0.7421655172413794,0.3601492461949034,,0.3601492461949034,0.0384615384615384,0.5344500000000001,0.734225
500184.0,FY25,0.5853027777777777,0.3769230769230769,0.4811129273504273,0.6767215517241378,,0.6767215517241378,0.5306994820500214,,0.5306994820500214,0.0384615384615384,0.5344500000000001,0.734225
500188.0,FY23,0.536811111111111,0.7830882352941176,0.6599496732026143,0.8330931034482759,0.48,0.656546551724138,0.33508428500997445,0.515,0.42504214250498723,0.0384615384615384,0.1479833333333333,0.6091916666666667
500188.0,FY24,0.5553222222222223,1.0,0.7776611111111111,0.635823275862069,0.24,0.4379116379310345,0.3272835198040529,0.53,0.42864175990202646,0.0384615384615384,0.1479833333333333,0.66653125
500188.0,FY25,0.6030444444444445,0.9653846153846154,0.78421452991453,0.643353448275862,0.15000000000000002,0.39667672413793104,0.40876315451463524,0.53,0.46938157725731766,0.0384615384615384,0.1479833333333333,0.692525
500209.0,FY23,0.6830361111111112,0.6838235294117647,0.683429820261438,0.7698043103448275,,0.7698043103448275,0.29881343812199657,,0.29881343812199657,0.5384615384615384,0.5242166666666667,0.943575
500209.0,FY24,0.6792527777777777,0.7007874015748031,0.6900200896762905,0.8069318965517241,,0.8069318965517241,0.3451463586758464,,0.3451463586758464,0.5384615384615384,0.5242166666666667,0.943575
500209.0,FY25,0.7274722222222222,0.023076923076923078,0.37527457264957265,0.8047362068965517,,0.8047362068965517,0.46803526840880166,,0.46803526840880166,0.5384615384615384,0.5242166666666667,0.943575
500233.0,FY23,0.6527777777777778,0.0,0.3263888888888889,0.6653603448275862,0.17000000000000004,0.4176801724137931,0.3112712280814728,0.515,0.4131356140407364,0.0384615384615384,0.6517166666666667,0.6073999999999999
500233.0,FY24,0.6666666666666666,0.8307086614173229,0.7486876640419948,0.6261560344827586,0.5549999999999999,0.5905780172413793,0.3,0.765,0.5325,0.0384615384615384,0.6517166666666667,0.5430999999999999
500233.0,FY25,0.5791333333333333,0.7153846153846154,0.6472589743589743,0.5310870689655172,0.765,0.6480435344827586,0.45509223315991965,0.53,0.49254611657995984,0.0384615384615384,0.6517166666666667,0.70295
500238.0,FY23,0.5839888888888889,0.8676470588235294,0.7258179738562092,0.6065939655172413,,0.6065939655172413,0.3110090479169152,1.0,0.6555045239584576,0.2153846153846153,0.6930000000000001,0.927325
500238.0,FY24,0.6565694444444445,,0.6565694444444445,0.6349155172413793,,0.6349155172413793,0.35850100391779255,,0.35850100391779255,0.2153846153846153,0.6930000000000001,0.896075
500238.0,FY25,0.6574611111111112,,0.6574611111111112,0.6245189655172414,,0.6245189655172414,0.40008087518146085,0.7272727272727273,0.5636768012270941,0.2153846153846153,0.6930000000000001,0.864825
500252.0,FY23,,1.0,1.0,,0.5700000000000001,0.5700000000000001,0.40728800336346094,0.515,0.4611440016817305,,,
500252.0,FY24,,0.5767716535433071,0.5767716535433071,,0.35,0.35,0.4780785811180851,0.53,0.5040392905590425,,,
500252.0,FY25,,0.5788461538461538,0.5788461538461538,,0.35,0.35,0.5493660178918679,0.5377272727272727,0.5435466453095703,,,
500253.0,FY23,0.5692333333333334,0.2647058823529412,0.4169696078431373,0.5758948275862069,,0.5758948275862069,0.275,,0.275,0.1307692307692307,0.832,0.8666499999999999
500253.0,FY24,0.6476027777777777,0.2440944881889764,0.44584863298337707,0.6345189655172414,,0.6345189655172414,0.3,,0.3,0.1307692307692307,0.832,0.8666499999999999
500253.0,FY25,0.6612333333333333,0.9538461538461539,0.8075397435897436,0.6076508620689656,,0.6076508620689656,0.36957174530397185,,0.36957174530397185,0.1307692307692307,0.832,0.8041499999999999
500260.0,FY23,0.5070277777777777,,0.5070277777777777,0.39677241379310346,,0.39677241379310346,0.43507920079316376,,0.43507920079316376,0.6115384615384615,0.6104499999999999,0.77581875
500260.0,FY24,0.5323583333333333,0.8661417322834646,0.6992500328083989,0.36458965517241376,,0.36458965517241376,0.4486879664505977,,0.4486879664505977,0.6115384615384615,0.6104499999999999,0.7784
500260.0,FY25,0.5833138888888889,,0.5833138888888889,0.42609224137931034,,0.42609224137931034,0.47622428612609835,,0.47622428612609835,0.6115384615384615,0.6104499999999999,0.80965
500266.0,FY23,0.4351333333333333,0.27205882352941174,0.35359607843137253,0.36381206896551727,0.885,0.6244060344827587,0.3570434006641384,0.515,0.4360217003320692,0.4807692307692308,0.608,0.40625
500266.0,FY24,0.46291111111111105,0.5708661417322834,0.5168886264216972,0.36510258620689656,0.88,0.6225512931034483,0.3577854620374281,0.53,0.44389273101871407,0.4807692307692308,0.608,0.34375
500266.0,FY25,0.5138472222222222,0.5596153846153846,0.5367313034188035,0.4111715517241379,0.265,0.33808577586206895,0.42163675718616533,0.53,0.4758183785930827,0.4807692307692308,0.608,0.40625
