NSE Symbol,BSE Code,Q_FY,Beta_Market,Momentum,Log_MarketCap,FY,ROE,DE_Ratio
DMART,540376,Q3FY25,0.28281735921447254,-0.021962036128617128,28.473527802346943,FY25,0.12637911119926265,0.03825319970598873
DMART,540376,Q3FY26,0.735129370261668,0.08312043906415571,28.533553540123442,FY26,0.12637911119926265,0.03825319970598873
DMART,540376,Q4FY21,0.8335192021652995,0.07353621108398903,28.25373712102047,FY21,0.12637911119926265,0.03825319970598873
DMART,540376,Q4FY22,0.8986804865766961,0.4503608754993818,28.590379237128474,FY22,0.12637911119926265,0.03825319970598873
DMART,540376,Q4FY23,0.8015631889333474,-0.18516977857722203,28.427331923954522,FY23,0.1479292480113442,0.03999328303905166
DMART,540376,Q4FY24,0.5090831601358807,0.08595159961819966,28.712997888747825,FY24,0.1356398767342931,0.031673211101615056
DMART,540376,Q4FY25,0.3101280869343703,-0.06002075344831905,28.610128684892366,FY25,0.12637911119926265,0.03825319970598873
DMART,540376,Q4FY26,0.6749224608187165,0.057553132757221216,28.57868333224771,FY26,0.12637911119926265,0.03825319970598873
ECLERX,532927,Q1FY22,0.10629411433555512,0.41516670228150204,24.819092344975473,FY22,,
ECLERX,532927,Q1FY23,0.8087712286912857,0.8094803383511949,24.810105815261668,FY23,0.2850476799712631,0.11287029753258408
ECLERX,532927,Q1FY24,0.47713065469778815,0.16948886902877286,25.04903652334591,FY24,0.2275665283352488,0.11823798966051628
ECLERX,532927,Q1FY25,0.6894176992315186,0.6089402181147014,25.4475616651315,FY25,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q1FY26,1.0084124420224334,0.5788434857743324,25.817616058585454,FY26,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q2FY22,0.18788042031445168,1.5548159955340624,24.929631921176124,FY22,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q2FY23,0.7648041086218709,-0.05802130863830978,24.917555830460635,FY23,0.2850476799712631,0.11287029753258408
ECLERX,532927,Q2FY24,0.5181377005814786,0.09875619601516984,25.15292452266355,FY24,0.2275665283352488,0.11823798966051628
ECLERX,532927,Q2FY25,0.656347972546423,0.7634582239105474,25.66580241228389,FY25,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q2FY26,1.0704296343580144,0.6016636738740052,25.9549721266964,FY26,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q3FY22,0.2947659405659212,1.404165859120958,25.117785871333236,FY22,0.2346694932087527,0.15531828523498956
ECLERX,532927,Q3FY23,0.8083240591602134,-0.05790611704759517,24.80991152498795,FY23,0.2850476799712631,0.11287029753258408
