Family,Portfolio,N_months,ann_alpha,t_alpha,R2,Sharpe,IR,beta_MKT
DINDEX,1,34,0.16824294854258798,2.2937150807297346,0.7646293527793915,0.7521796096873086,1.6800908578478229,1.1541643200707645
DINDEX,2,34,0.057746232245426105,0.7783253372191429,0.7175724124362621,0.6874282546298215,0.5701044974937256,0.983126947466994
DINDEX,3,34,0.07327032454879447,1.3784105874124588,0.7843698778507289,0.37320736915685465,1.0096524392800963,0.9694926433529284
DINDEX,4,34,0.02839758518004227,0.4705388505451523,0.8061222220294496,0.38945068992059784,0.34465833516324285,1.0510988491501656
DINDEX,5,34,0.01767003880742276,0.33336124568039216,0.8210011867444306,0.3283812401985033,0.24417905516416757,0.8931713491002556
DINDEX,LS,34,-0.15057290973516518,-1.6034127912695626,0.31266195292812415,-0.6407720268482027,-1.1744611153322526,-0.2609929709705089
DINDEX,LS_tc,34,-0.15329987793486627,-1.6351370156833642,0.31118255328056177,-0.6631133976159291,-1.1976983429451011,-0.2617420624741325
OINDEX,1,34,0.031230754889797274,0.680298558815522,0.8449409543214167,0.487178596235889,0.4983022516071959,0.8959910951544041
OINDEX,2,34,0.08306991639462165,1.3665644027541275,0.816191131187554,0.606322216306794,1.0009753953385672,1.0688792756673693
OINDEX,3,34,0.08960680255919301,1.7212168338599896,0.804146340829254,0.41392028782071966,1.2607497292217873,0.9781279736176048
OINDEX,4,34,0.11383180466297788,2.1901602418329715,0.7938731247971003,0.724498242627687,1.6042394412625487,0.9927864164126092
OINDEX,5,34,0.03257400257446842,0.49491635089762176,0.8005000499771628,0.3837136902302463,0.3625142649705038,1.109728231714745
OINDEX,LS,34,0.001343247684671116,0.019066914396294814,0.4072376149682213,-0.002776991555746993,0.013966053950515266,0.2137371365603408
OINDEX,LS_tc,34,-0.0013837205150299694,-0.01955658585107659,0.4088843116259673,-0.028043598379510256,-0.01432472645584935,0.21298804505671717
TRINDEX,1,34,0.09390244620655691,1.2266365990815913,0.7530827317040601,0.8837613943771186,0.8984816611847334,0.9728273212625858
TRINDEX,2,34,0.06557851630579062,1.0184158263276881,0.797105016205997,0.4900225698159865,0.7459649778107265,1.1516496607585975
TRINDEX,3,34,0.11907292223375582,1.8493409228347497,0.7182545037694259,0.7793761919431051,1.354597527653706,0.9538101273346428
TRINDEX,4,34,0.06777517868305137,1.526608737315482,0.8704224827463725,0.45254531113222135,1.1182040021545996,1.0333186851851748
TRINDEX,5,34,0.008722208171587142,0.21714840622774417,0.8623504528480127,0.13755053309201729,0.15905595911388853,0.9622435884627019
TRINDEX,LS,34,-0.08518023803496974,-1.1258693384785252,0.4678255092252075,-1.1692047049536443,-0.8246720783241981,-0.010583732799883996
TRINDEX,LS_tc,34,-0.08790720623467083,-1.1693670315969835,0.47063373853956125,-1.196115370722498,-0.8565330872000444,-0.01133282430350759
