NSE Symbol,FY,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
BOSCHLTD,FY24,2023-04-03,2024-03-28,243,0.0018863774379256032,0.5815252309024616,1.1154384513291031,0.2657971000196181,0.04550143939196838,-0.21247631692864963,-1.8262075584395405,-0.2959872060503667,-0.5331055320357303,1.269847773687352,1.0318756807349962
BPCL,FY24,2023-04-03,2024-03-28,243,0.0009734235410828235,0.26686066191800645,0.3915640517243775,0.6957336720417366,0.03908597743523734,0.981034292528626,-1.8240680845615838,-0.5095442604626681,-1.2465236933014436,2.2999211842470277,0.6615615910437205
BRIGADE,FY24,2023-04-03,2024-03-28,243,-0.0009409838191138268,-0.2044002673552408,-0.34336281562663135,0.7316312108750155,0.030402358636052673,1.4208879673731976,0.8396884978126138,-0.7072257503523609,-2.8457498974701014,0.3776209325302331,-0.04526260286938921
CASTROLIND,FY24,2023-04-03,2024-03-28,243,0.0003538402216371471,0.0897879912231789,0.11429459286369766,0.9091014449692034,0.026477513796631214,1.7603844161940256,0.04972954790443973,0.5607295257092375,-0.15933465232994665,1.829063867982906,-1.814329114310548
CEATLTD,FY24,2023-04-03,2024-03-28,243,0.005134769780502403,2.4824952289443494,1.5817206771225505,0.11505257606618048,0.03356168979709839,1.8704304693494407,-0.2878107647831065,-0.28283109317533595,3.3346485179720915,6.341371482960129,-4.122773764590944
CESC,FY24,2023-04-03,2024-03-28,243,-0.0038499616236130057,-0.6076263382781698,-1.3019439748077961,0.1942048482676985,0.041168285034667296,2.485937263983648,1.1480231300649069,-0.0010455063982806045,-3.8348772930043813,-2.91611160149693,0.602067636825231
CGCL,FY24,2023-04-03,2024-03-28,243,0.0006844010810359335,0.1809385015890184,0.053370038094981906,0.9574822265695332,0.020275202746455556,4.035331138212053,-0.2553887243596764,-7.55038922168153,1.5953477748251192,1.8000227912800675,0.9121161716322803
CGPOWER,FY24,2023-04-03,2024-03-28,243,-0.0005208902950110689,-0.11889311821050962,-0.178434394717113,0.858534916032557,0.020246903332736932,1.425682313876546,1.0186588599642117,-0.37563513761644096,-2.0229359724932303,-4.152949757699526,0.6130707968508458
CHALET,FY24,2023-04-03,2024-03-28,243,0.001212666382063261,0.3426938487627964,0.4737748685876888,0.6360984484764175,0.012401991794003475,0.9972718469275041,0.49925624868187113,0.015616568185218727,-2.1981013752523704,-1.6482143981116024,-0.6259561242464668
CHAMBLFERT,FY24,2023-04-03,2024-03-28,243,-0.002217336103224334,-0.4165594240145349,-0.8876651632550172,0.37562464310439153,0.01796875947876697,1.3892864569979322,0.26869831511904474,-0.07558753869273827,-2.6468084249215,-1.9194263447182958,-0.004263340300303967
CHOLAFIN,FY24,2023-04-03,2024-03-28,243,0.002157809815449686,0.6893566654911812,0.8819226442036936,0.37871599599708855,0.04109838817535394,1.9870128609874687,0.688547360677154,0.14864863980013548,2.8706859260779463,-0.08244990395105331,-1.498742596622024
CHOLAHLDNG,FY24,2023-04-03,2024-03-28,243,0.005496715925579101,2.802664365718981,2.0834313804829603,0.03828846418761164,0.04114828090277822,0.4852751629805976,1.3805280774609234,1.2458809100028752,5.321355809560704,2.2328714483401315,-2.873699652177621
COCHINSHIP,FY24,2023-04-03,2024-03-28,243,-0.003841489132615078,-0.6068176812230721,-0.7828191463642761,0.43451812659663114,0.02804532644010893,0.5063240130604725,2.675180778932123,1.0801224138740424,-3.5639470791662053,-5.358279851122962,4.580763638251325
COFORGE,FY24,2023-04-03,2024-03-28,243,0.00018038871548555762,0.04480938059394053,0.06982595146100452,0.9443913211145663,0.0338811629555088,1.3472914193726422,1.0113555223378248,-1.663293699744214,-0.45351486586503087,2.643903696210001,0.09029748987582475
COLPAL,FY24,2023-04-03,2024-03-28,243,0.0005857791528944337,0.15297358837749692,0.3133443643365146,0.7542958029914532,0.025078870000073583,1.0990565358529896,0.13125875913669904,0.750734884735825,-0.8123197261651598,-1.581884234275618,-0.9665881741893978
CONCOR,FY24,2023-04-03,2024-03-28,243,0.0010110260948740092,0.2784895486955186,0.45709661200541035,0.6480220747689827,0.03771546218889954,1.4063834330140068,-0.7318236704107782,-1.1434489911202859,-0.04229663967086206,3.6196423672946327,-0.06475094078329291
CRAFTSMAN,FY24,2023-04-03,2024-03-28,243,0.002077704586293239,0.656790363035476,0.763927716048767,0.445673388868123,0.04657036881874688,1.4617369815155266,1.1964554191291894,-2.185344477647506,-0.759250879955504,-0.012652415333798794,-1.5167142356719605
CREDITACC,FY24,2023-04-03,2024-03-28,243,0.004195397618343091,1.771757571286739,1.445051738561308,0.1497698235467374,0.03099691970994889,0.15146606678358981,1.3325793931171739,-0.7865950634245582,0.7916893241931645,2.635880878482704,-3.2620076619413103
CRISIL,FY24,2023-04-03,2024-03-28,243,0.004862449343344167,2.259504501536156,2.08048767206648,0.03855993664338988,0.02028445519393285,0.18703599070469112,-1.5512854436328896,-0.8281471705315386,2.0437749784789347,3.298043051640086,-0.6588116339744906
CUB,FY24,2023-04-03,2024-03-28,243,-0.0019302291220227605,-0.374400992764162,-0.7667137035851642,0.44401803114638705,0.01078368228723936,0.2564747064461961,0.12045515580525124,1.375089042052846,-0.27552544937854184,-2.3409165828063294,0.2925861027270671
DALBHARAT,FY24,2023-04-03,2024-03-28,243,-0.0031030583515712314,-0.5295394542287091,-1.3577760160535994,0.17583155863189676,0.02969143527992657,0.903982797256533,1.2415702852884116,-0.3234988243669578,-0.1668655530415408,-1.7314468161921097,2.07111676154044
DEEPAKFERT,FY24,2023-04-03,2024-03-28,243,-0.004389668149330424,-0.6558540231414449,-1.4666777685456713,0.14379497988872172,0.02389487404653201,0.4894769820555074,2.048846026602175,1.0514765462185736,-1.1458464529401318,-5.855889287526771,1.4814397350463147
DEEPAKNTR,FY24,2023-04-03,2024-03-28,243,-0.001412887688009463,-0.2905971422073331,-0.6165738906074966,0.5381101289710584,0.03473990761389756,1.7970702984630467,1.0266315786525382,-1.3878916840786735,-1.1712287945020508,-0.7704438890311072,0.2705017667345686
DELHIVERY,FY24,2023-04-03,2024-03-28,243,0.001609538546733151,0.47863278494029654,0.5638806454100374,0.5733708016899571,0.018431159992744917,-0.6433551326164942,0.474711656585306,1.6177311239421426,2.8959092358759326,1.6306568389300884,-0.7345838644665561
DEVYANI,FY24,2023-04-03,2024-03-28,243,-0.0020504835876146007,-0.3924176222891684,-0.7748672040868084,0.43919379337269454,0.040648520225017526,2.2952119731052845,1.5943243219893488,0.30531983781795624,1.6771224539055565,-1.3283286756530868,-0.44828738870237195
DIXON,FY24,2023-04-03,2024-03-28,243,0.005396115160691356,2.710831531733052,2.0175899226263256,0.04476604717865547,0.05149069394182626,1.5927869378718909,0.2068006161311865,-2.5580347181146625,0.22373319866481933,0.5121185580499183,-0.17765553377882332
DLF,FY24,2023-04-03,2024-03-28,243,0.004120316485339789,1.7216461676492762,1.6868325221502725,0.09295688896852804,0.02135714450735582,1.2008886178189349,-0.9157406412021041,0.24403243815389813,1.3380988120676043,2.8882251458738106,-1.559536450884224
DMART,FY24,2023-04-03,2024-03-28,243,0.0003566998356657672,0.09054553304116267,0.19322954637591114,0.846945394532676,0.040171394982334574,0.756210334721751,-0.3837206667519064,0.13122906866258582,0.2016443125754175,-2.7139405645121926,0.8843171646302881
ECLERX,FY24,2023-04-03,2024-03-28,243,-0.0008077827958906528,-0.178227116379236,-0.24239335414693325,0.8086858990440413,0.017187668878607232,1.1445185135594298,0.9841086683709988,-1.2301269298095616,-2.1662387544943815,0.3756800628744328,1.1305663645304513
EICHERMOT,FY24,2023-04-03,2024-03-28,243,-0.0008857069376002436,-0.1936414512587678,-0.4166833567810942,0.677288763915355,0.03334500919514294,1.7349568792620154,0.00356221553059366,-0.7191332706533455,-1.1547487163520027,-1.9773231436784513,0.779294420479711
EIDPARRY,FY24,2023-04-03,2024-03-28,243,-0.003920463633042936,-0.6142912248631913,-1.5777334651426784,0.11596629282379582,0.05650626122310598,1.1778153228397623,0.07926103277527959,0.5050000297191004,-0.6425568307667178,0.7935754409205513,1.921805535600468
ENDURANCE,FY24,2023-04-03,2024-03-28,243,-0.0008459957803568014,-0.1858225788480097,-0.334677122658526,0.7381659145332503,0.032994924348056065,1.6300097852659872,1.439696140214452,0.9638112548991211,0.3702871536162096,-0.7836911718220164,-1.6080970462356237
ERIS,FY24,2023-04-03,2024-03-28,243,-0.00017969089340307915,-0.04272530116889546,-0.08141399800422566,0.9351817197352885,0.020206135292363814,0.5481132723400677,0.9766946185020542,0.4599401560942145,1.3559686202521766,-0.09605299982733273,0.8559291529284481
ESCORTS,FY24,2023-04-03,2024-03-28,243,0.0006990102925449037,0.18513832897723248,0.31581885264117654,0.7524191259459624,0.03454720634255226,-0.3434326855426541,2.1221049331871917,-0.39108626823502524,0.10216130318343591,-0.9730275088999971,0.4918974304292736
FEDERALBNK,FY24,2023-04-03,2024-03-28,243,-0.0020302124325808227,-0.38941735449265785,-0.93134021769637,0.3526293533569591,0.009068133376126775,0.5414638921311618,0.17936356738938541,-0.1359827677068829,-1.571851258875828,-2.065937367828286,1.3526134871134436
FINEORG,FY24,2023-04-03,2024-03-28,243,-0.0015283191152987762,-0.31021929104830137,-0.8197648829832044,0.41317728749925703,0.03368288936566177,1.5401939242072973,1.0014678564371085,-0.25208914939459864,0.775403049124589,-0.21241875514444708,-0.43272597338064056
FLUOROCHEM,FY24,2023-04-03,2024-03-28,243,-0.003121064282393594,-0.531593429877183,-1.2392848017651945,0.21647106240760833,0.03775571307102077,1.9869883070631564,0.15524762685873827,-0.9454424249159413,-2.6322224209532497,0.8193230085306462,-0.40431424852560305
FORCEMOT,FY24,2023-04-03,2024-03-28,201,0.021800294860462387,78.98661170274033,4.078443395321112,6.614248459612841e-05,0.08228531640280645,-0.3040687337401682,-4.9105721695586535,-5.335432547774551,12.825642225260884,14.670447823219657,1.4206150869364154
FSL,FY24,2023-04-03,2024-03-28,243,-2.8288668539667755e-05,-0.00685057355584441,-0.00949990534744196,0.9924283117686722,0.012835498900220066,0.938227594597775,0.9917514963868581,-0.3937818629828673,-1.2270537568901316,0.22565447286568424,0.25473330764454327
GALLANTT,FY24,2023-04-03,2024-03-28,243,-0.0026057013641318286,-0.4691020344534915,-0.5716543773201705,0.5681001949871837,0.05733721041210904,4.571910216275802,-0.14330636635397384,0.6016976513266147,-4.784257860642485,-0.975682759672869,-2.040492733053488
GESHIP,FY24,2023-04-03,2024-03-28,243,-0.0003624278103059313,-0.08430318574762347,-0.1310890299023017,0.8958165573716885,0.015025037526162466,1.4401108588400366,-0.07893802060444238,-0.0685561613234662,0.09682274929947818,-0.0911099510753659,0.923959526591766
GICRE,FY24,2023-04-03,2024-03-28,243,-0.00014229040118489227,-0.03398562843898262,-0.03143536594903883,0.9749489057815429,0.020283096441279125,0.9822140257436095,1.3096097456874176,-0.6928399771444907,-1.2762865101073473,2.1964652270294813,1.25773549661061
GLAND,FY24,2023-04-03,2024-03-28,243,-0.00888341585914793,-0.8845214007160436,-2.1070482429156163,0.03616908560065631,0.038846084723589414,0.16198129012417392,2.721198133347122,2.3816734571198843,-5.004719028412859,-11.131800381529064,4.919647553930677
GMDCLTD,FY24,2023-04-03,2024-03-28,243,-0.0008193824530072337,-0.18054019981799818,-0.15430519404605483,0.8775009771419303,0.018031988730402015,-0.9300849476290463,3.3209899632954327,0.44165493116707166,-1.9272602006533708,-3.3878416802514453,2.864639607478309
GMRAIRPORT,FY24,2023-04-03,2024-03-28,243,-0.002308436394972349,-0.4293333521822941,-0.6813944862272298,0.49628999667196994,0.020552972399658365,2.1992255781860486,0.5768449593949069,0.17848812047506057,-2.6362234575770556,-2.9865388249002702,0.7881757575035878
GODFRYPHLP,FY24,2023-04-03,2024-03-28,243,0.003989233868223672,1.636319537724935,1.113512402315649,0.26662124923719915,0.015299305754070014,-1.1914669536893439,-1.229623246945235,0.7914205897792518,0.3541195318332364,2.660010834861774,-1.6046360140176956
GODREJIND,FY24,2023-04-03,2024-03-28,243,0.0006039634190081046,0.15807959400701924,0.20291980060329703,0.8393725561784184,0.015373350893954307,0.06797680324344646,1.6351462362134517,1.120182207149306,-0.09218581624002264,-1.2605995927593954,-0.6589955450058249
